policy_id,customer_name,gender,age,marital_status,state,city,pincode,aadhaar_masked,occupation_type,annual_income_inr,bmi,tobacco_usage,alcohol_units_per_week,physical_activity_level,diet_type,has_diabetes,has_hypertension,family_history_cardiac,stress_level_score,policy_type,sum_insured,policy_start_date,claim_date,hospital_name,hospital_tier,room_category,icu_days,length_of_stay,cashless_claim,agent_channel,hospital_bill_amount,pre_hospitalization_expense,post_hospitalization_expense,non_payable_items,deductible_amount,co_pay_amount,total_claim_amount
IND103304,Alka Mukhopadhyay,F,36,Divorced,Tamil Nadu,Chennai,847016,XXXX-XXXX-6575,Business,823300.22,28.779125868168094,smoking,4,low,non-veg,0.0,0.0,0,,individual,2000000,2019-09-13,2022-04-23,"Lall, Bumb and Dua Hospital",private_small,general,2,6,yes,online,160039.77,15092.716957792176,14816.007640064283,5229.900733613635,6634.961901119591,26405.574578853084,"₹151,678"
IND101987,Gautami Chanda,F,39,married,Karnataka,Bengaluru,432335,XXXX-XXXX-2872,Retired,989128.77,30.729989813849294,none,2,low,veg,0.0,1.0,0,4.751606652730179,individual,2000000,2021-12-11,2023-11-04,"Rai, Randhawa and Ray Hospital",private_small,deluxe,3,6,no,bancassurance,173704.83,14920.655850865554,10384.48086056039,12756.02343097852,6987.99611613407,16771.48233644051,162494.46
IND104725,Ridhi Wable,Male,48,married,Karnataka,Bengaluru,807064,XXXX-XXXX-9125,Self-employed,717704.79,28.208312557772036,smoking,0,moderate,vegan,0.0,0.0,1,4.786732347976032,family_floater,500000,2021-05-20,2023-03-20,Kadakia PLC Hospital,private_corporate,semi-private,3,5,yes,agent,220261.47,16202.882187095234,19974.63473735533,9624.570612003148,10524.495686599534,31255.241297519085,205034.68
IND105031,Ethan Shankar,M,46,Widowed,Tamil Nadu,Coimbatore,900329,XXXX-XXXX-1493,Self-employed,795085.69,20.42457611334789,chewing,4,low,non-veg,0.0,0.0,0,7.67718591168113,family_floater,2000000,2020-05-11,2021-09-06,Apte-Dhawan Hospital,private_corporate,private,0,5,no,aggregator,128736.67,9340.872259008747,6760.021670483807,2622.2987608065373,6400.820347507638,21994.193709531824,512986.56
IND107599,Logan Chaudhry,F,18,Married,Tamil Nadu,Chennai,466064,286274455107,Unemployed,501550.91,31.50707617082736,none,4,low,veg,0.0,0.0,0,4.00216152981105,individual,1000000,2021-04-26,2024-07-25,"Shan, Rao and Sekhon Hospital",private_corporate,private,2,5,yes,aggregator,148014.44,16595.311362203734,17123.41840213086,11346.864182847754,1550.8561234131334,21866.76575531752,"₹146,969"
IND107982,Anita Ranganathan,M,31,married,Tamil Nadu,Chennai,316041,XXXX-XXXX-7030,Business,1177278.21,26.65131952232161,none,1,low,eggetarian,0.0,0.0,1,1.9222688600947584,senior_citizen,2000000,2020-08-10,2023-05-07,Sawhney Group Hospital,private_corporate,general,0,4,yes,online,104387.47,9323.659558808817,6120.407449288099,8344.605439980458,2316.851080507981,5864.251949319786,103305.83
IND104472,Suhani Mahajan,Male,58,Single,Karnataka,Bengaluru,950216,XXXX-XXXX-4420,Unemployed,1.5 LPA,33.682584321408505,none,9,low,non-veg,1.0,0.0,0,4.77168410960911,family_floater,2000000,2023-05-12,2025-12-01,"Saran, Tandon and Garde Hospital",private_small,general,0,1,yes,bancassurance,31705.16,4356.80363523483,2624.1933655100556,829.263720549525,1011.1823234921516,5688.319677732473,31157.39
IND101169,Mahika Muni,F,18,Divorced,West Bengal,Kolkata,270666,XXXX-XXXX-6372,Unemployed,401520.72,25.505754194486318,chewing,2,moderate,non-veg,0.0,1.0,0,2.0575322105383735,individual,2000000,2019-02-07,2020-02-17,"Chakraborty, Bala and Tak Hospital",private_corporate,deluxe,0,2,yes,aggregator,92401.95,12017.905162976165,5308.577916995828,2400.0223787415853,2540.622420208023,10499.132510118314,94288.66
IND103455,Vidhi Toor,female,27,Widowed,Delhi,New Delhi,455069,XXXX-XXXX-5401,Salaried,471860.29,27.553187494698967,smoking,1,low,vegan,0.0,1.0,0,2.6903174198511053,individual,2000000,2023-03-14,2024-05-09,Korpal Inc Hospital,private_corporate,private,0,2,yes,online,"₹123,571",6590.697036479874,7204.4318355571,4694.611735727465,3415.247528649328,7496.961358024308,121759.71
IND102591,Ikbal Jha,female,22,Divorced,Uttar Pradesh,Noida,898756,XXXX-XXXX-7994,Student,792379.13,29.230900242515908,none,2,low,non-veg,1.0,0.0,0,7.311621880892296,senior_citizen,1000000,2022-09-26,2027-08-20,Zachariah Inc Hospital,private_corporate,deluxe,2,6,yes,online,203883.92,27655.422269057555,19010.110235757325,4906.9372405015065,7617.78643217254,30792.062444978288,"207,233"
IND107279,Christopher Sur,Female,29,Single,Tamil Nadu,Chennai,697145,XXXX-XXXX-5878,Salaried,,22.375726582199576,none,5,low,eggetarian,0.0,0.0,0,5.109871828853906,individual,1000000,2022-08-06,2024-05-12,"Ram, Mann and Nigam Hospital",private_corporate,private,1,2,yes,agent,82792.92,7945.909620346098,7765.790617771119,2841.0991196393297,2643.875742779619,14553.928351087685,78465.72
IND106850,Garima Dhingra,Male,33,Married,West Bengal,Kolkata,500033,XXXX-XXXX-7456,Unemployed,853056.91,31.20077596342348,none,6,moderate,veg,,0.0,0,6.933913997233846,individual,300000,2022-07-30,2027-12-02,Kunda-Bora Hospital,govt,semi-private,1,3,yes,online,"94,290",8303.41012425058,7604.795224410872,5118.236729010969,1894.6867921207722,13328.322063581452,89856.85
IND100152,Darika Basak,M,71,Divorced,Tamil Nadu,Chennai,541457,XXXX-XXXX-4812,Retired,459430.78,17.198347435841605,chewing,4,moderate,vegan,0.0,1.0,0,3.5271702921302204,individual,2000000,2019-06-10,2023-06-07,Pant PLC Hospital,private_corporate,general,2,5,yes,bancassurance,201297.59,16643.668196586495,13388.17636978946,7844.580487253427,2541.8035077709246,28690.766758729635,192252.28
IND105320,Lakshit Kaur,F,47,Single,Delhi,New Delhi,441813,XXXX-XXXX-8954,Unemployed,1678322.61,29.33188499773665,none,4,moderate,vegan,0.0,0.0,0,,individual,500000,2018-07-13,2018-12-09,Banik-Sodhi Hospital,private_corporate,private,0,2,no,agent,116449.1,15034.23681586548,9835.318781482973,8831.138813224774,4104.011906745362,17563.63747434295,"₹110,820"
IND106898,Rushil Pal,Male,24,Married,Tamil Nadu,Chennai,399941,XXXX-XXXX-6376,Student,578757.97,22.248102661541186,none,4,low,veg,0.0,1.0,1,5.873731990881368,individual,2000000,2021-10-04,2024-04-30,"Kalita, Rajagopalan and Magar Hospital",private_corporate,deluxe,1,4,yes,online,132060.75,18273.024019314173,10298.576733366941,5941.127990337632,4787.3755280710675,22860.116852374846,127043.73
IND105315,Qushi Bal,male,60,Married,Maharashtra,Mumbai,778785,XXXX-XXXX-4706,Business,778706.38,30.38280348345655,smoking,5,low,non-veg,0.0,0.0,0,9.876933497914829,senior_citizen,500000,2022-01-17,2026-08-06,Parikh Ltd Hospital,govt,general,2,4,no,agent,92412.79,5374.452654740095,9454.147178865232,2382.0963566683704,3027.7355070518347,14789.0503730819,87042.51
IND101228,Karan Kuruvilla,M,20,married,West Bengal,Kolkata,813644,XXXX-XXXX-8091,Unemployed,1548823.8,34.292544583763394,none,3,moderate,vegan,1.0,0.0,1,4.044248183854673,family_floater,5000000,2021-11-30,2025-08-14,Singh Inc Hospital,private_small,deluxe,1,6,yes,agent,145018.33,13665.11974056366,7626.538942510474,7035.396063794904,4389.321181305047,23590.682944680204,131294.59
IND107928,Wridesh Suri,M,47,married,Karnataka,Bengaluru,102643,XXXX-XXXX-6641,Student,580335.94,27.925999890920995,none,1,moderate,veg,0.0,1.0,0,5.658754979977183,family_floater,500000,2022-01-18,2023-11-18,Chaudhry-Minhas Hospital,private_small,private,0,3,yes,agent,98107.03,7696.734383334543,9455.661988143205,2569.68344224754,4386.905539853391,4922.538569443077,103380.3
IND100254,Yachana Bora,Female,25,Single,Maharashtra,Nagpur,179574,XXXX-XXXX-4803,Retired,469547.76,18.589362002725096,none,1,low,eggetarian,0.0,0.0,0,3.151257687564838,senior_citizen,300000,2022-04-12,2026-12-06,Dhar-Verma Hospital,private_corporate,general,1,4,no,online,89412.02,10594.979291936344,9037.709703907562,2880.587782432583,2435.9205852146583,7298.288693393714,96429.91
IND100218,Yuvraj Acharya,Female,36,married,Delhi,New Delhi,661479,XXXX-XXXX-7131,Business,381141.09,,none,3,moderate,vegan,1.0,0.0,0,8.933136142613414,family_floater,300000,2023-02-09,2028-04-06,Ben LLC Hospital,private_small,semi-private,2,8,no,bancassurance,172104.16,23396.75814823118,16359.710807002495,9799.630105973527,7644.415496355237,9474.132437370961,"₹184,942"
IND107176,Eiravati Narang,male,33,married,Karnataka,Bengaluru,120745,XXXX-XXXX-7163,Retired,323735.94,18.146583271796814,none,4,moderate,non-veg,0.0,0.0,0,4.353728204607346,family_floater,1000000,2021-08-05,2022-01-17,"Bhatia, Bhardwaj and Dalal Hospital",govt,private,0,2,yes,bancassurance,44987.26,4462.6685268585,5192.034444721145,2565.229961995252,1658.679645058543,5004.540141167486,45413.51
IND103117,Falak Kothari,M,72,married,Delhi,New Delhi,378893,XXXX-XXXX-7361,Student,1115475.06,32.2053418602232,smoking,1,moderate,veg,0.0,0.0,0,,individual,300000,2021-06-04,2026-04-13,Jha LLC Hospital,private_corporate,deluxe,2,3,no,bancassurance,131354.89,15179.90192876657,8176.366411347728,6279.1833238354475,4169.938178709609,8934.141752330099,135327.89
IND102108,Jalsa Sachar,F,44,Divorced,Karnataka,Mysuru,498763,XXXX-XXXX-3278,Business,415937.53,32.90946937550881,chewing,3,high,veg,,0.0,0,4.083779486026903,individual,500000,2021-10-17,2026-01-03,"Barman, Sarna and Dara Hospital",private_small,general,1,8,no,online,163464.55,11139.291228789878,16166.982848286038,9978.485871621348,5666.84816116883,17332.401326515075,157793.09
IND100369,Orinder Master,F,28,Widowed,Maharashtra,Mumbai,243110,XXXX-XXXX-4221,Business,1844340.01,,smoking,3,low,vegan,0.0,0.0,0,6.797413415617265,family_floater,2000000,2022-10-05,2026-03-19,Comar-Chahal Hospital,private_small,private,1,6,yes,online,"₹143,303",10550.249317089443,9976.089797672434,5023.108650218924,6800.995938098984,20648.41715595123,131357.3
IND103283,Daniel Balay,female,60,Widowed,West Bengal,Kolkata,607620,868510778691,Business,4.2 LPA,28.50239883164593,smoking,3,moderate,non-veg,0.0,,1,6.1463361500787475,individual,500000,2021-04-18,2025-03-27,Padmanabhan-Bhavsar Hospital,private_corporate,general,1,5,yes,bancassurance,172132.3,14790.40975169602,9869.270129916646,7971.242476850806,4695.182210242951,9849.240424681624,174276.31
IND102080,Parth Rajagopal,F,42,married,Uttar Pradesh,Lucknow,942678,XXXX-XXXX-9617,Retired,664132.96,28.06992814464497,none,5,low,veg,0.0,1.0,0,4.644412910879066,family_floater,5000000,2022-01-12,2025-03-02,Chopra-Aggarwal Hospital,private_corporate,deluxe,2,7,no,aggregator,"180,690",12505.62005710332,13827.058074767006,5836.137215815981,2138.8151774639837,23273.825187135473,175773.89
IND101515,Jasmit Narasimhan,male,40,Single,Uttar Pradesh,Kanpur,470157,XXXX-XXXX-2601,Unemployed,1243794.51,17.873069742107667,none,3,moderate,eggetarian,0.0,1.0,1,5.959117978535278,family_floater,500000,2018-12-18,2024-01-18,Saha LLC Hospital,private_small,deluxe,1,3,yes,aggregator,62698.76,4226.63381684675,6288.221298744258,4969.554302617539,1174.955999933041,7800.225256768348,59268.88
IND107924,Jalsa Rastogi,Male,50,married,Karnataka,Bengaluru,844758,XXXX-XXXX-2687,Unemployed,611921.89,32.98373209007567,chewing,2,low,veg,1.0,0.0,0,8.308917103840994,individual,500000,2023-08-21,2027-12-08,Varghese PLC Hospital,govt,semi-private,1,4,yes,agent,106410.68,12486.957536850467,6630.284129237168,6042.824920998277,3796.187274073869,15531.201531477609,100157.71
IND106860,Dayamai Nagy,Female,68,Married,Karnataka,Bengaluru,723803,XXXX-XXXX-9212,Student,3730842.94,21.007626856398794,chewing,1,low,vegan,0.0,,0,5.731005362416371,family_floater,300000,2018-09-14,2019-10-06,Sibal-Bansal Hospital,private_small,semi-private,2,3,yes,agent,107920.37,15980.540352806547,11712.021221382232,4727.879732952269,2536.0078855762654,16096.664702057364,112252.38
